S.No.,"Course
Catag",Course No.,Course title,Contact Periods,,,Credits,Marks,,,Total
,,,,L,T,P,,Course-Work,Mid-Sem,End-Sem,
1,DC,AIC2130,Statistical Learning,3,1,0,4,15,25,60,100
2,DC,AIC2140,Design & Analysis of Algorithm,3,1,0,4,15,25,60,100
3,DC,AIC2150,AI Tools & Techniques,3,1,0,4,15,25,60,100
4,DC,AIC2930,Minor Project I,0,0,3,2,60,,40,100
5,DC,AIC2940,Python Programming Laboratory,0,1,2,2,60,,40,100
6,BS,AMS2630,Discrete Structures,3,1,0,4,15,25,60,100
7,ESA,ELA2410,Signals & Systems,3,1,0,4,15,25,60,100
8,ESA,ELA2900,Electronics Laboratory,0,1,2,2,60,,40,100
