S.No.,"Course
Catag",Course No.,Course title,Contact Periods,,,Credits,Marks,,,Total
,,,,L,T,P,,Course-Work,Mid-Sem,End-Sem,
1,DC,AIC3060,Artificial Neural Network,3,1,0,4,15,25,60,100
2,DC,AIC3070,AI System Design,3,1,0,4,15,25,60,100
3,DC,AIC3090,Microprocessor Theory & Applications,3,1,0,4,15,25,60,100
4,DC,AIC3100,Operating Systems,3,1,0,4,15,25,60,100
5,DC,AIC3930,Algorithms & Operating Systems Lab,0,1,2,2,60,,40,100
6,DC,AIC3940,Machine Learning Lab,0,1,2,2,60,,40,100
7,ESA,ELA3400,Communication Engineering,3,1,0,4,15,25,60,100
8,HM,MEH3450,Engineering Economy & Management,3,1,0,4,15,25,60,100
